date,Families,Individuals (Adults)
2023-11-05,2317,4933
2023-11-07,2316,4934
2023-11-08,2309,4920
2023-11-13,2305,4907
2023-11-14,2301,4898
2023-11-15,2287,4870
2023-11-16,2298,4897
2023-11-19,2270,4840
2023-11-20,2286,4872
2023-11-21,2284,4865
2023-11-27,2271,4837
2023-11-30,2267,4835
2023-12-03,2245,4793
2023-12-04,2252,4807
2023-12-05,2239,4775
2023-12-06,2245,4785
2023-12-07,2233,4760
